Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Gabriel Landeskog,COL,15,,4,,4,,8,,-1,,9,,31,,6,,9,,13,,0.409,,2,,0,,0,,0,,2,,32,,0.125,
 Mike Fisher,NAS,13,,3,,5,,8,,-6,,25,,36,,11,,119,,100,,0.543,,3,,3,,0,,0,,1,,23,,0.13,
 Tobias Rieder,ARI,15,,5,,3,,8,,3,,0,,4,,12,,0,,2,,0,,0,,0,,0,,1,,0,,28,,0.179,
 Devin Shore,DAL,19,,1,,7,,8,,-7,,4,,9,,16,,84,,95,,0.469,,0,,3,,0,,0,,0,,22,,0.045,
 Rasmus Ristolainen,BUF,18,,0,,8,,8,,-3,,12,,39,,32,,0,,0,,N/A,,0,,6,,0,,0,,0,,38,,0,
 Sean Monahan,CGY,19,,5,,3,,8,,-8,,8,,9,,7,,181,,171,,0.514,,1,,0,,0,,0,,1,,38,,0.132,
 P.A. Parenteau,NJD,17,,5,,3,,8,,-3,,8,,15,,0,,0,,5,,0,,1,,0,,0,,0,,0,,35,,0.143,
 Leo Komarov,TOR,18,,3,,5,,8,,2,,9,,65,,13,,22,,22,,0.5,,0,,2,,1,,0,,0,,22,,0.136,
 Lee Stempniak,CAR,16,,4,,4,,8,,3,,10,,27,,4,,1,,2,,0.333,,1,,0,,0,,0,,0,,26,,0.154,
 Ondrej Palat,TAM,19,,3,,5,,8,,-5,,13,,38,,8,,1,,2,,0.333,,0,,3,,0,,0,,0,,30,,0.1,
 Thomas Vanek,DET,7,,4,,4,,8,,5,,4,,3,,1,,0,,1,,0,,2,,2,,0,,0,,0,,13,,0.308,
 Ryan Nugent-Hopkins,EDM,19,,2,,6,,8,,-3,,4,,12,,3,,133,,150,,0.47,,2,,0,,0,,0,,1,,55,,0.036,
